StockID,StockName,截止日,合约交易代码,合约简称,标的证券代码,标的证券名称,标的证券类型,行权方式,期权类型,合约单位,行权价,首个交易日,最后交易日,行权日,行权交割日,到期日,合约未平仓数,合约前收盘价,合约前结算价,标的证券前收盘,是否有涨跌幅限制,涨幅上限价格,跌幅下限价格,单位保证金,保证金计算比例参数一,保证金计算比例参数二,整手数,单笔限价申报下限,单笔限价申报上限,单笔市价申报下限,单笔市价申报上限,单笔报价申报下限,单笔报价申报上限,最小报价单位,期权合约状态信息,开仓状态,是否连续停牌,是否距离到期日不足5个交易日,最近5个交易日内合约是否发生过调整,是否新挂牌合约,上市地
al2311P15800,al2311P15800,20231010,al2311P15800,铝2311沽15800,al2311,al2311,期货,美式,认沽,5,15800.0,20230526,20231025,0,0,20231025,0.0,0.0,0.0,0.0,有,1156.0,1.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
al2311P15900,al2311P15900,20231010,al2311P15900,铝2311沽15900,al2311,al2311,期货,美式,认沽,5,15900.0,20230526,20231025,0,0,20231025,0.0,0.0,0.0,0.0,有,1156.0,1.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
al2311C15300,al2311C15300,20231010,al2311C15300,铝2311购15300,al2311,al2311,期货,美式,认购,5,15300.0,20230526,20231025,0,0,20231025,0.0,0.0,0.0,0.0,有,5105.0,2795.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
al2311C15400,al2311C15400,20231010,al2311C15400,铝2311购15400,al2311,al2311,期货,美式,认购,5,15400.0,20230526,20231025,0,0,20231025,0.0,0.0,0.0,0.0,有,5005.0,2695.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
al2311C15500,al2311C15500,20231010,al2311C15500,铝2311购15500,al2311,al2311,期货,美式,认购,5,15500.0,20230526,20231025,0,0,20231025,0.0,0.0,0.0,0.0,有,4905.0,2595.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
al2311C15600,al2311C15600,20231010,al2311C15600,铝2311购15600,al2311,al2311,期货,美式,认购,5,15600.0,20230526,20231025,0,0,20231025,0.0,0.0,0.0,0.0,有,4805.0,2495.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
al2311C15700,al2311C15700,20231010,al2311C15700,铝2311购15700,al2311,al2311,期货,美式,认购,5,15700.0,20230526,20231025,0,0,20231025,0.0,0.0,0.0,0.0,有,4705.0,2395.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
al2311C15800,al2311C15800,20231010,al2311C15800,铝2311购15800,al2311,al2311,期货,美式,认购,5,15800.0,20230526,20231025,0,0,20231025,0.0,0.0,0.0,0.0,有,4605.0,2295.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
al2311C16300,al2311C16300,20231010,al2311C16300,铝2311购16300,al2311,al2311,期货,美式,认购,5,16300.0,20230526,20231025,0,0,20231025,0.0,0.0,0.0,0.0,有,4105.0,1795.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
al2311C16400,al2311C16400,20231010,al2311C16400,铝2311购16400,al2311,al2311,期货,美式,认购,5,16400.0,20230526,20231025,0,0,20231025,0.0,0.0,0.0,0.0,有,4005.0,1695.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
al2311C16500,al2311C16500,20231010,al2311C16500,铝2311购16500,al2311,al2311,期货,美式,认购,5,16500.0,20230526,20231025,0,0,20231025,0.0,0.0,0.0,0.0,有,3905.0,1595.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
al2311C16600,al2311C16600,20231010,al2311C16600,铝2311购16600,al2311,al2311,期货,美式,认购,5,16600.0,20230526,20231025,0,0,20231025,0.0,0.0,0.0,0.0,有,3805.0,1495.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
al2311C16700,al2311C16700,20231010,al2311C16700,铝2311购16700,al2311,al2311,期货,美式,认购,5,16700.0,20230526,20231025,0,0,20231025,0.0,0.0,0.0,0.0,有,3705.0,1395.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,30.0,0.0,0.0,1.0,,,,,,,上海期货交易所
